annotated,correction,host,broad,order
breederchicken,breeder_chicken,avian,chicken,galliformes
broiler,chicken,avian,chicken,galliformes
broilerchicken,chicken,avian,chicken,galliformes
brahmachicken,brahma_chicken,avian,chicken,galliformes
ch,chicken,avian,chicken,galliformes
ck,chicken,avian,chicken,galliformes
chicken,chicken,avian,chicken,galliformes
chiken,chicken,avian,chicken,galliformes
chickenl,chicken,avian,chicken,galliformes
fancychicken,chicken,avian,chicken,galliformes
gallusgallus,chicken,avian,chicken,galliformes
gallus_gallus,chicken,avian,chicken,galliformes
hen,chicken,avian,chicken,galliformes
layinghen,chicken,avian,chicken,galliformes
layer,chicken,avian,chicken,galliformes
layerchicken,chicken,avian,chicken,galliformes
rooster,rooster,avian,chicken,galliformes
silkiechicken,silkie_chicken,avian,chicken,galliformes
silkychicken,silkie_chicken,avian,chicken,galliformes
village_chicken,chicken,avian,chicken,galliformes
villagechicken,chicken,avian,chicken,galliformes
waterchicken,common_moorhen,avian,moorhen,neoave
steller's_eider,stellars_eider,avian,duck,anseriformes
anseriformes_sp.,avian,avian,avian,anseriformes
bantam,bantam,avian,fowl,galliformes
ruddy_shelduck,ruddy_shelduck,avian,duck,anseriformes
white_peckin_duck,pekin_duck,avian,duck,anseriformes
dendrocygna_viduata,white-faced_whistling_duck,avian,duck,anseriformes
anas_querquedula,gargeny,avian,duck,anseriformes
anas_crecca,green-winged_teal,avian,duck,anseriformes
anas_platyrhynchos_var._domesticus,domestic_mallard,avian,duck,anseriformes
mallard(anas_platyrhynchos),mallard,avian,duck,anseriformes
anas_platyrhynchos,mallard,avian,duck,anseriformes
americanblackduck,American_black_duck,avian,duck,anseriformes
anas_acuta,Northern_pintail,avian,duck,anseriformes
anas_carolinensis,green-winged_teal,avian,duck,anseriformes
americangreen_wingedteal,green-winged_teal,avian,duck,anseriformes
anas_americana,American_wigeon,avian,duck,anseriformes
anasplatyrhynchos,mallard,avian,duck,anseriformes
anasplatyrhynchosdomesticus,domestic_duck,avian,duck,anseriformes
anasplatyrhynchosdomestica,domestic_duck,avian,duck,anseriformes
aythyafuligula,tufted_duck,avian,duck,anseriformes
baikalteal,baikal_teal,avian,duck,anseriformes
black_duck,American_black_duck,avian,duck,anseriformes
blackduck,American_black_duck,avian,duck,anseriformes
blacknestedgrebe,black-necked_grebe,avian,duck,anseriformes
breederduck,breeder_duck,avian,duck,anseriformes
broilerduck,broiler_duck,avian,duck,anseriformes
cascadeduck,cascade_duck,avian,duck,anseriformes
common_goldeneye,common_goldeneye,avian,duck,anseriformes
commongoldeneye,common_goldeneye,avian,duck,anseriformes
common_pochard,common_pochard,avian,duck,anseriformes
commonpochard,common_pochard,avian,duck,anseriformes
commonteal,Eurasian_teal,avian,duck,anseriformes
dack,duck,avian,duck,anseriformes
domestic_duck,duck,avian,duck,anseriformes
domesticduck,duck,avian,duck,anseriformes
domestic_green_winged_teal,green-winged_teal,avian,duck,anseriformes
domesticgreen-wingedteal,green-winged_teal,avian,duck,anseriformes
domesticgreen_wingedteal,green-winged_teal,avian,duck,anseriformes
domesticmallardduck,mallard,avian,duck,anseriformes
domesticmallard,mallard,avian,duck,anseriformes
duck,duck,avian,duck,anseriformes
duckbroiler,duck,avian,duck,anseriformes
duck_broiler,duck,avian,duck,anseriformes
gadwall_duck,gadwall,avian,duck,anseriformes
gadwallduck,gadwall,avian,duck,anseriformes
goldeneyeduck,Goldeneye,avian,duck,anseriformes
goosander,goosander,avian,duck,anseriformes
greaterscaup,greater_scaup,avian,duck,anseriformes
europeanteal,Eurasian_teal,avian,duck,anseriformes
eurasianteal,Eurasian_teal,avian,duck,anseriformes
falcatedduck,falcated_duck,avian,duck,anseriformes
indianrunnerduck,indian_runner_duck,avian,duck,anseriformes
mallard,mallard,avian,duck,anseriformes
mallard_duck,mallard,avian,duck,anseriformes
mallardduck,mallard,avian,duck,anseriformes
mandarinduck,Mandarin_duck,avian,duck,anseriformes
mandarin_duck,Mandarin_duck,avian,duck,anseriformes
mergusalbellus,smew,avian,duck,anseriformes
migratoryduck,duck,avian,duck,anseriformes
cairina_moschata,Muscovy_duck,avian,duck,anseriformes
muscovy,Muscovy_duck,avian,duck,anseriformes
muscovyduck,Muscovy_duck,avian,duck,anseriformes
muscovy_duck,Muscovy_duck,avian,duck,anseriformes
northernpintail,Northern_pintail,avian,duck,anseriformes
pekingduck,pekin_duck,avian,duck,anseriformes
pekinduck,American_Pekin_duck,avian,duck,anseriformes
pintail,northern_pintail,avian,duck,anseriformes
pochard,common_pochard,avian,duck,anseriformes
rbpochard,red-chested_pochard,avian,duck,anseriformes
ringneckedduck,ring-necked_duck,avian,duck,anseriformes
rubbyshelduck,Ruddy_shelduck,avian,duck,anseriformes
ruddy_shelduck,Ruddy_shelduck,avian,duck,anseriformes
ruddyshelduck,Ruddy_shelduck,avian,duck,anseriformes
teal,teal_duck,avian,duck,anseriformes
tufted_duck,Tufted_duck,avian,duck,anseriformes
tuftedduck,Tufted_duck,avian,duck,anseriformes
wild_duck,duck,avian,duck,anseriformes
wildduck,duck,avian,duck,anseriformes
wood_duck,Wood_duck,avian,duck,anseriformes
woodduck,Wood_duck,avian,duck,anseriformes
yellow_billed_duck,yellow-billed_duck,avian,duck,anseriformes
yellowbilledduck,yellow-billed_duck,avian,duck,anseriformes
greyduck,pacific_black_duck,avian,duck,anseriformes
common_shelduck,common_shelduck,avian,duck,anseriformes
anser_fabalis,bean_goose,avian,goose,anseriformes
bar-headed_goose_(anser_indicus),bar-headed_goose,avian,goose,anseriformes
africangoose,african_goose,avian,goose,anseriformes
americanbuffgoose,american_buff_goose,avian,goose,anseriformes
ansercygnoides,swan_goose,avian,goose,anseriformes
anseralbifrons,greater_white-fronted_goose,avian,goose,anseriformes
anseranser,greylag_goose,avian,goose,anseriformes
anseranserdomesticus,domestic_goose,avian,goose,anseriformes
anserbrachyrhynchus,pink-footed_goose,avian,goose,anseriformes
goose,goose,avian,goose,anseriformes
geese,goose,avian,goose,anseriformes
bar_headed_goose,bar-headed_goose,avian,goose,anseriformes
bar_headedgoose,bar-headed_goose,avian,goose,anseriformes
bar-headedgoose,bar-headed_goose,avian,goose,anseriformes
barheadedgoose,bar-headed_goose,avian,goose,anseriformes
barnaclegoose,barnacle_goose,avian,goose,anseriformes
bean_goose,bean_goose,avian,goose,anseriformes
beangoose,bean_goose,avian,goose,anseriformes
black-headedgoose,black-headed_goose,avian,goose,anseriformes
brentgoose,brent_goose,avian,goose,anseriformes
brantaleucopsis,barnacle_goose,avian,goose,anseriformes
brantacanadensis,canada_goose,avian,goose,anseriformes
cacklinggoose,cackling_goose,avian,goose,anseriformes
canada_goose,canada_goose,avian,goose,anseriformes
canadagoose,canada_goose,avian,goose,anseriformes
cygnus_cygnus,whooper_swan,avian,swan,anseriformes
cygnuscygnus,whooper_swan,avian,swan,anseriformes
cignusolor,mute_swan,avian,swan,anseriformes
cygnus_olor,mute_swan,avian,swan,anseriformes
cygnusolor,mute_swan,avian,swan,anseriformes
domesticgoose,goose,avian,goose,anseriformes
embdengoose,embden_goose,avian,goose,anseriformes
greaterwhitefrontedgoose,greater_white-fronted_goose,avian,goose,anseriformes
greygoose,grey_goose,avian,goose,anseriformes
greylaggoose,greylag_goose,avian,goose,anseriformes
graylaggoose,greylag_goose,avian,goose,anseriformes
mute_swan,mute_swan,avian,swan,anseriformes
muteswan,mute_swan,avian,swan,anseriformes
sebastopolgoose,sebastopol_goose,avian,goose,anseriformes
snowgoose,snow_goose,avian,goose,anseriformes
tundraswan,tundra_swan,avian,swan,anseriformes
whitefrontgoose,greater_white-fronted_goose,avian,goose,anseriformes
whitefrontedgoose,greater_white-fronted_goose,avian,goose,anseriformes
whistlingswan,tundra_swan,avian,swan,anseriformes
whooper_swan,whooper_swan,avian,swan,anseriformes
whooperswan,whooper_swan,avian,swan,anseriformes
whoopingswan,whooper_swan,avian,swan,anseriformes
wildgoose,goose,avian,goose,anseriformes
wildgeese,goose,avian,goose,anseriformes
wildswan,swan,avian,swan,anseriformes
bewick's_swan,bewicks_swan,avian,swan,anseriformes
maned_goose,wood_duck,avian,duck,anseriformes
calidris_alpina,dunlin,avian,wader,charadriiformes
bronzeturkey,bronze_turkey,avian,turkey,galliformes
commonpheasant,common_pheasant,avian,pheasant,galliformes
domesticturkey,turkey,avian,turkey,galliformes
